"Price (Excl. Tax)","Price (Excl. Tax)"
"Price (Incl. Tax)","Price (Incl. Tax)"
"Price (Both)","Price (Both)"
"Send Only Newly Added","Send Only Newly Added"
"Send Entire Wish List","Send Entire Wish List"
"Product Name","Product Name"
Qty,Qty
"Sku: ","Sku: "
"Just Added","Just Added"
"View Product","View Product"
"Magevolve Extensions","Magevolve Extensions"
"Wish List Admin Email","Wish List Admin Email"
Basic,Basic
"Enable Extension","Enable Extension"
"Enable extension.","Enable extension."
"Enable Customer Segmentation","Enable Customer Segmentation"
"Please select yes, if you would like to set specified customer groups for notification.","Please select yes, if you would like to set specified customer groups for notification."
"Enabled Customer Groups","Enabled Customer Groups"
"Please select customer groups.","Please select customer groups."
"Email Options","Email Options"
"Email Wish List Items","Email Wish List Items"
"Please select to send only the recently added item, or the whole wish list. In the second option the newly added item will be marked.","Please select to send only the recently added item, or the whole wish list. In the second option the newly added item will be marked."
"Send Emails To","Send Emails To"
"Please enter the email address where notification will be sent.","Please enter the email address where notification will be sent."
"Send BCC Emails To","Send BCC Emails To"
"Please enter the bcc copy email address where notification will be also sent.","Please enter the bcc copy email address where notification will be also sent."
"Email Sender","Email Sender"
"Please select the email sender from store email addresses.","Please select the email sender from store email addresses."
"Email Template","Email Template"
"Please select the custom email template or use the default.","Please select the custom email template or use the default."
